Table,key,Field,Order,Required
DEMOGRAPHIC,PATID,PATID,1,Y
DEMOGRAPHIC,BIRTHDATE,BIRTH_DATE,2,N
DEMOGRAPHIC,BIRTHTIME,BIRTH_TIME,3,N
DEMOGRAPHIC,SEX,SEX,4,N
DEMOGRAPHIC,SEXUALORIENTATION,SEXUAL_ORIENTATION,5,N
DEMOGRAPHIC,GENDERIDENTITY,GENDER_IDENTITY,6,N
DEMOGRAPHIC,HISPANIC,HISPANIC,7,N
DEMOGRAPHIC,RACE,RACE,8,N
DEMOGRAPHIC,BIOBANKFLAG,BIOBANK_FLAG,9,N
DEMOGRAPHIC,RAWSEX,RAW_SEX,10,N
DEMOGRAPHIC,RAWSEXUALORIENTATION,RAW_SEXUAL_ORIENTATION,11,N
DEMOGRAPHIC,RAWGENDERIDENTITY,RAW_GENDER_IDENTITY,12,N
DEMOGRAPHIC,RAWHISPANIC,RAW_HISPANIC,13,N
DEMOGRAPHIC,RAWRACE,RAW_RACE,14,N
ENROLLMENT,PATID,PATID,1,Y
ENROLLMENT,ENRSTARTDATE,ENR_START_DATE,2,Y
ENROLLMENT,ENRENDDATE,ENR_END_DATE,3,N
ENROLLMENT,CHART,CHART,4,N
ENROLLMENT,ENRBASIS,ENR_BASIS,5,Y
ENCOUNTER,ENCOUNTERID,ENCOUNTERID,6,Y
ENCOUNTER,PATID,PATID,7,Y
ENCOUNTER,ADMITDATE,ADMIT_DATE,8,Y
ENCOUNTER,ADMITTIME,ADMIT_TIME,9,N
ENCOUNTER,DISCHARGEDATE,DISCHARGE_DATE,10,N
ENCOUNTER,DISCHARGETIME,DISCHARGE_TIME,11,N
ENCOUNTER,PROVIDERID,PROVIDERID,12,N
ENCOUNTER,FACILITYLOCATION,FACILITY_LOCATION,13,N
ENCOUNTER,ENCTYPE,ENC_TYPE,14,Y
ENCOUNTER,FACILITYID,FACILITYID,15,N
ENCOUNTER,DISCHARGEDISPOSITION,DISCHARGE_DISPOSITION,16,N
ENCOUNTER,DISCHARGESTATUS,DISCHARGE_STATUS,17,N
ENCOUNTER,DRG,DRG,18,N
ENCOUNTER,DRGTYPE,DRG_TYPE,19,N
ENCOUNTER,ADMITTINGSOURCE,ADMITTING_SOURCE,20,N
ENCOUNTER,RAWSITEID,RAW_SITEID,21,N
ENCOUNTER,RAWENCTYPE,RAW_ENC_TYPE,22,N
ENCOUNTER,RAWDISCHARGEDISPOSITION,RAW_DISCHARGE_DISPOSITION,23,N
ENCOUNTER,RAWDISCHARGESTATUS,RAW_DISCHARGE_STATUS,24,N
ENCOUNTER,RAWDRGTYPE,RAW_DRG_TYPE,25,N
ENCOUNTER,RAWADMITTINGSOURCE,RAW_ADMITTING_SOURCE,26,N
DIAGNOSIS,DIAGNOSISID,DIAGNOSISID,1,Y
DIAGNOSIS,PATID,PATID,2,Y
